Year,Sex,Age,Incidence Rate,Incident Cases,Population at Risk,Standard Error
2005,MALE,00to19,0.22,1.0,453837.71843,0.22
2005,MALE,20to24,4.448,6.0,134897.44738,1.82
2005,MALE,25to29,8.327,11.0,132101.56055,2.51
2005,MALE,30to34,5.495,7.0,127382.35446,2.08
2005,MALE,35to39,14.342,18.0,125506.55654,3.3800000000000003
2005,MALE,40to44,14.654000000000002,21.0,143310.32188,3.2
2005,MALE,45to49,12.882000000000001,18.0,139732.35475000003,3.04
2005,MALE,50to54,12.087,14.0,115825.94171000001,3.23
2005,MALE,55to59,10.989,10.0,91000.016109,3.4800000000000004
2005,MALE,60to64,7.774,5.0,64313.093063,3.4800000000000004
2005,MALE,65to69,14.48,7.0,48341.77200900001,5.470000000000001
2005,MALE,70to74,9.735000000000001,4.0,41090.950275,4.870000000000001
2005,MALE,75to79,9.497,3.0,31587.382841000002,5.48
2005,MALE,80to84,5.1240000000000006,1.0,19514.489892,5.12
2005,MALE,85+,0.0,0.0,12560.309067000002,15.92
2006,BOTH,ALL,15.878,542.0,3413618.1679000002,0.68
2006,BOTH,00to19,0.895,8.0,893818.25869,0.32000000000000006
2006,BOTH,20to24,9.555,26.0,272115.52361,1.87
2006,BOTH,25to29,21.916,58.0,264641.30834,2.8800000000000003
2006,BOTH,30to34,28.863,73.0,252922.06442,3.3800000000000003
2006,BOTH,35to39,24.312,61.0,250908.29272,3.11
2006,BOTH,40to44,30.123,84.0,278859.67750000005,3.29
2006,BOTH,45to49,29.984,84.0,280145.30504,3.27
2006,BOTH,50to54,26.578,64.0,240804.09607,3.3200000000000003
2006,BOTH,55to59,17.338,33.0,190331.49453000003,3.02
2006,BOTH,60to64,15.519,21.0,135316.76967,3.39
2006,BOTH,65to69,13.634000000000002,14.0,102686.23163000001,3.64
2006,BOTH,70to74,9.231000000000002,8.0,86660.72290700002,3.2600000000000002
2006,BOTH,75to79,6.978000000000001,5.0,71654.30968,3.12
2006,BOTH,80to84,0.0,0.0,50438.195702000005,3.9600000000000004
2006,BOTH,85+,7.09,3.0,42315.917406,4.09
2006,FEMALE,ALL,23.408,393.0,1678929.174,1.1800000000000002
2006,FEMALE,00to19,0.6920000000000001,3.0,433301.68275000004,0.4
2006,FEMALE,20to24,12.334000000000001,16.0,129722.41255000001,3.08
2006,FEMALE,25to29,34.843,44.0,126279.86035,5.25
2006,FEMALE,30to34,48.604,59.0,121389.37623000001,6.330000000000001
2006,FEMALE,35to39,36.373000000000005,44.0,120969.78193000001,5.48
2006,FEMALE,40to44,47.672000000000004,65.0,136347.30175,5.91
2006,FEMALE,45to49,44.596,61.0,136784.66196,5.71
2006,FEMALE,50to54,36.602000000000004,43.0,117479.79009000001,5.58
2006,FEMALE,55to59,25.613000000000003,24.0,93703.58923,5.23
2006,FEMALE,60to64,20.740000000000002,14.0,67501.147761,5.54
2006,FEMALE,65to69,19.069,10.0,52440.266048000005,6.03
2006,FEMALE,70to74,11.039,5.0,45292.962904,4.94
2006,FEMALE,75to79,7.7170000000000005,3.0,38875.849176,4.46
2006,FEMALE,80to84,0.0,0.0,30147.648927000002,6.630000000000001
2006,FEMALE,85+,6.970000000000001,2.0,28692.842394000003,4.930000000000001
2006,MALE,ALL,8.589,149.0,1734688.9939000001,0.7000000000000001
2006,MALE,00to19,1.086,5.0,460516.57594,0.49
2006,MALE,20to24,7.023,10.0,142393.11106,2.22
2006,MALE,25to29,10.118000000000002,14.0,138361.44798,2.7
2006,MALE,30to34,10.644000000000002,14.0,131532.68819000002,2.8400000000000003
2006,MALE,35to39,13.083,17.0,129938.5108,3.17
2006,MALE,40to44,13.332,19.0,142512.37576000002,3.06
2006,MALE,45to49,16.043,23.0,143360.64308,3.35
2006,MALE,50to54,17.028,21.0,123324.30598,3.72
2006,MALE,55to59,9.314,9.0,96627.905301,3.1
2006,MALE,60to64,10.322000000000001,7.0,67815.621912,3.9000000000000004
2006,MALE,65to69,7.961,4.0,50245.965578,3.9800000000000004
2006,MALE,70to74,7.252,3.0,41367.760002,4.19
2006,MALE,75to79,6.102,2.0,32778.460503,4.31
2006,MALE,80to84,0.0,0.0,20290.546775,9.850000000000001
2006,MALE,85+,7.340000000000001,1.0,13623.075012,7.340000000000001
2007,BOTH,ALL,15.659,549.0,3506025.1846000003,0.6700000000000002
2007,BOTH,00to19,0.553,5.0,903466.7375400001,0.25
2007,BOTH,20to24,10.629000000000001,30.0,282237.92995,1.9400000000000002
